subject,id,level,sa,choices,totalTrials_Pre,totalHits_Pre,totalFailures_Pre,totalTrials_Post,hitsPost,failuresPost,hitRatePre,hitRatePreMean,hitRatePresd,z(hit)_pre,failureRatePre,failureRatePreMean,failureRatePresd,z(failure)_pre,hitRatePost,hitRatePostMean,hitRatePostsd,z(hit)_post,failureRatePost,failureRatePostMean,failureRatePostsd,z(failure)_post,,d_prime_pre,d_prime_post
ll,N7,3,300,4,432,414,18,0,0,0,0.239583333,0.232670234,0.00795279,0.869267194,0.010416667,0.017329766,0.00795279,-0.869267194,nan,,,#VALUE!,nan,0.017329766,,#VALUE!,,1.738534388,#VALUE!
ll,N7,3,200,4,103,98,5,0,0,0,0.237864078,0.222136936,0.018191821,0.864517188,0.012135922,0.027863064,0.018191821,-0.864517188,nan,,,#VALUE!,nan,0.027863064,,#VALUE!,,1.729034376,#VALUE!
it,N6,1,800,3,578,575,3,578,576,2,0.33160323,0.319251574,0.020895117,0.591126461,0.001730104,0.01408176,0.020895117,-0.59112644,0.332179931,0.331298397,0.001562822,0.564065658,0.001153403,0.01408176,0.001562822,-8.272444508,,1.182252901,8.836510165
it,N6,1,1000,2,576,576,0,576,576,0,0.5,0.49932467,0.001013239,0.666506244,0,0.00067533,0.001013239,-0.666506244,0.5,0.49935121,0.000924659,0.701653611,0,0.00067533,0.000924659,-0.730355475,,1.333012488,1.432009086
it,N6,1,600,3,576,572,4,579,576,3,0.331018519,0.322724036,0.013569623,0.611253728,0.002314815,0.010609297,0.013569623,-0.611253681,0.331606218,0.331633166,0.001395258,-0.01931428,0.001727116,0.010609297,0.001395258,-6.365978834,,1.222507409,6.346664554
it,N6,1,400,4,221,219,2,410,402,8,0.247737557,0.239128891,0.010226602,0.841791464,0.002262443,0.010871109,0.010226602,-0.841791464,0.245121951,0.244313304,0.007402995,0.109232463,0.004878049,0.010871109,0.007402995,-0.809545343,,1.683582928,0.918777806
it,N6,1,300,4,0,0,0,0,0,0,nan,0.234246775,0.010382578,#VALUE!,nan,0.015753225,0.010382578,#VALUE!,nan,,,#VALUE!,nan,0.015753225,,#VALUE!,,#VALUE!,#VALUE!
it,N6,1,200,4,0,0,0,0,0,0,nan,0.220175594,0.007131577,#VALUE!,nan,0.029824406,0.007131577,#VALUE!,nan,,,#VALUE!,nan,0.029824406,,#VALUE!,,#VALUE!,#VALUE!
it,N6,2,800,3,583,575,8,583,576,7,0.328759291,0.314210314,0.027202076,0.534848039,0.004574042,0.019123019,0.027202076,-0.534848052,0.329331046,0.324009237,0.009698433,0.548728718,0.004002287,0.019123019,0.009698433,-1.559090178,,1.069696091,2.107818896
it,N6,2,1000,2,576,576,0,576,576,0,0.5,0.48792786,0.02854483,0.422918613,0,0.01207214,0.02854483,-0.422918613,0.5,0.49408504,0.008466899,0.698598149,0,0.01207214,0.008466899,-1.425804187,,0.845837225,2.124402336
it,N6,2,600,3,590,576,14,580,576,4,0.325423729,0.316474979,0.018664497,0.479453056,0.007909605,0.016858354,0.018664497,-0.479453019,0.331034483,0.324727854,0.01131159,0.557536966,0.002298851,0.016858354,0.01131159,-1.287131485,,0.958906075,1.844668451
it,N6,2,400,4,226,204,22,430,415,15,0.225663717,0.228754538,0.01783754,-0.173276176,0.024336283,0.021245462,0.01783754,0.173276176,0.24127907,0.238310867,0.007644151,0.388297227,0.00872093,0.021245462,0.007644151,-1.638446418,,-0.346552351,2.026743644
it,N6,2,300,4,0,0,0,0,0,0,nan,0.238958255,0.005894483,#VALUE!,nan,0.011041745,0.005894483,#VALUE!,nan,,,#VALUE!,nan,0.011041745,,#VALUE!,,#VALUE!,#VALUE!
it,N6,2,200,4,0,0,0,0,0,0,nan,0.224669657,0.010383513,#VALUE!,nan,0.025330343,0.010383513,#VALUE!,nan,,,#VALUE!,nan,0.025330343,,#VALUE!,,#VALUE!,#VALUE!
it,N6,3,800,3,598,576,22,586,576,10,0.321070234,0.315310058,0.026377836,0.218371831,0.012263099,0.018023276,0.026377836,-0.218371847,0.327645051,0.323369091,0.012796305,0.334155835,0.005688282,0.018023276,0.012796305,-0.963949661,,0.436743677,1.298105496
it,N6,3,1000,2,576,576,0,576,576,0,0.5,0.49002853,0.024312701,0.410134182,0,0.00997147,0.024312701,-0.410134182,0.5,0.49096793,0.015792427,0.571924167,0,0.00997147,0.015792427,-0.631408326,,0.820268365,1.203332493
it,N6,3,600,3,590,576,14,579,576,3,0.325423729,0.316088136,0.021844726,0.427361431,0.007909605,0.017245198,0.021844726,-0.427361406,0.331606218,0.32502129,0.012458215,0.528561134,0.001727116,0.017245198,0.012458215,-1.245610355,,0.854722836,1.774171489
it,N6,3,400,4,243,224,19,441,428,13,0.230452675,0.232462863,0.015970833,-0.125866221,0.019547325,0.017537137,0.015970833,0.125866221,0.242630385,0.235356553,0.017633731,0.412495345,0.007369615,0.017537137,0.017633731,-0.576595014,,-0.251732443,0.989090359
it,N6,3,300,4,0,0,0,0,0,0,nan,0.232670234,0.00795279,#VALUE!,nan,0.017329766,0.00795279,#VALUE!,nan,,,#VALUE!,nan,0.017329766,,#VALUE!,,#VALUE!,#VALUE!
it,N6,3,200,4,0,0,0,0,0,0,nan,0.222136936,0.018191821,#VALUE!,nan,0.027863064,0.018191821,#VALUE!,nan,,,#VALUE!,nan,0.027863064,,#VALUE!,,#VALUE!,#VALUE!
sm,N9,1,800,3,397,396,1,579,576,3,0.332493703,0.319251574,0.020895117,0.633742782,0.000839631,0.01408176,0.020895117,-0.633742761,0.331606218,0.331298397,0.001562822,0.196965003,0.001727116,0.01408176,0.001562822,-7.905343801,,1.267485542,8.102308803
sm,N9,1,1000,2,0,0,0,577,576,1,nan,0.49932467,0.001013239,#VALUE!,nan,0.00067533,0.001013239,#VALUE!,0.499133449,0.49935121,0.000924659,-0.235503512,0.000866551,0.00067533,0.000924659,0.206801647,,#VALUE!,-0.442305159
sm,N9,1,600,3,553,516,37,576,576,0,0.311030741,0.322724036,0.013569623,-0.861725891,0.022302592,0.010609297,0.013569623,0.861725867,0.333333333,0.331633166,0.001395258,1.21853222,0,0.010609297,0.001395258,-7.603826155,,-1.723451757,8.822358375
sm,N9,1,400,4,451,439,12,334,332,2,0.243348115,0.239128891,0.010226602,0.41257343,0.006651885,0.010871109,0.010226602,-0.41257343,0.248502994,0.244313304,0.007402995,0.56594531,0.001497006,0.010871109,0.007402995,-1.266258189,,0.82514686,1.8322035
sm,N9,1,300,4,426,405,21,0,0,0,0.237676056,0.234246775,0.010382578,0.330291818,0.012323944,0.015753225,0.010382578,-0.330291818,nan,,,#VALUE!,nan,0.015753225,,#VALUE!,,0.660583635,#VALUE!
sm,N9,1,200,4,39,33,6,0,0,0,0.211538462,0.220175594,0.007131577,-1.211111083,0.038461538,0.029824406,0.007131577,1.211111083,nan,,,#VALUE!,nan,0.029824406,,#VALUE!,,-2.422222166,#VALUE!
sm,N9,2,800,3,399,396,3,613,576,37,0.330827068,0.314210314,0.027202076,0.610863451,0.002506266,0.019123019,0.027202076,-0.610863427,0.313213703,0.324009237,0.009698433,-1.113121456,0.02011963,0.019123019,0.009698433,0.102759967,,1.221726877,-1.215881423
sm,N9,2,1000,2,0,0,0,593,576,17,nan,0.48792786,0.02854483,#VALUE!,nan,0.01207214,0.02854483,#VALUE!,0.485666105,0.49408504,0.008466899,-0.994335111,0.014333895,0.01207214,0.008466899,0.267129073,,#VALUE!,-1.261464183
