subject,difficulty,condition,date,sa,ratio
sr,3,binocular,2016-08-01_10-33-27-AM.csv,400,0.9696969696969697
sr,1,binocular,2016-08-01_11-01-38-AM.csv,1000,nan
sr,2,binocular,2016-08-01_11-01-38-AM.csv,1000,nan
sr,3,binocular,2016-08-01_11-01-38-AM.csv,1000,nan
sr,1,binocular,2016-08-01_11-01-38-AM.csv,800,1.0
sr,2,binocular,2016-08-01_11-01-38-AM.csv,800,1.0
sr,3,binocular,2016-08-01_11-01-38-AM.csv,800,1.0
sr,1,binocular,2016-08-01_11-01-38-AM.csv,600,1.0
sr,2,binocular,2016-08-01_11-01-38-AM.csv,600,1.0
sr,3,binocular,2016-08-01_11-01-38-AM.csv,600,1.0
sr,1,binocular,2016-08-01_11-01-38-AM.csv,400,1.0
sr,2,binocular,2016-08-01_11-01-38-AM.csv,400,0.9795918367346939
sr,3,binocular,2016-08-01_11-01-38-AM.csv,400,0.9795918367346939
sr,1,binocular,2016-08-02_12-30-17-PM.csv,1000,nan
sr,2,binocular,2016-08-02_12-30-17-PM.csv,1000,nan
sr,3,binocular,2016-08-02_12-30-17-PM.csv,1000,nan
sr,1,binocular,2016-08-02_12-30-17-PM.csv,800,1.0
sr,2,binocular,2016-08-02_12-30-17-PM.csv,800,1.0
sr,3,binocular,2016-08-02_12-30-17-PM.csv,800,1.0
sr,1,binocular,2016-08-02_12-30-17-PM.csv,600,1.0
sr,2,binocular,2016-08-02_12-30-17-PM.csv,600,1.0
sr,3,binocular,2016-08-02_12-30-17-PM.csv,600,0.9896907216494846
sr,1,binocular,2016-08-02_12-30-17-PM.csv,400,0.9795918367346939
sr,2,binocular,2016-08-02_12-30-17-PM.csv,400,1.0
sr,3,binocular,2016-08-02_12-30-17-PM.csv,400,0.9896907216494846
sr,1,binocular,2016-08-02_12-58-55-PM.csv,1000,nan
sr,2,binocular,2016-08-02_12-58-55-PM.csv,1000,nan
sr,3,binocular,2016-08-02_12-58-55-PM.csv,1000,nan
sr,1,binocular,2016-08-02_12-58-55-PM.csv,800,1.0
sr,2,binocular,2016-08-02_12-58-55-PM.csv,800,1.0
sr,3,binocular,2016-08-02_12-58-55-PM.csv,800,1.0
sr,1,binocular,2016-08-02_12-58-55-PM.csv,600,1.0
sr,2,binocular,2016-08-02_12-58-55-PM.csv,600,0.9896907216494846
sr,3,binocular,2016-08-02_12-58-55-PM.csv,600,0.9896907216494846
sr,1,binocular,2016-08-02_12-58-55-PM.csv,400,1.0
sr,2,binocular,2016-08-02_12-58-55-PM.csv,400,0.9896907216494846
sr,3,binocular,2016-08-02_12-58-55-PM.csv,400,0.9896907216494846
sr,1,binocular,2016-08-03_03-30-16-PM.csv,1000,1.0
sr,2,binocular,2016-08-03_03-30-16-PM.csv,1000,1.0
sr,3,binocular,2016-08-03_03-30-16-PM.csv,1000,1.0
sr,1,binocular,2016-08-03_03-30-16-PM.csv,800,1.0
sr,2,binocular,2016-08-03_03-30-16-PM.csv,800,1.0
sr,3,binocular,2016-08-03_03-30-16-PM.csv,800,1.0
sr,1,binocular,2016-08-03_03-30-16-PM.csv,600,1.0
sr,2,binocular,2016-08-03_03-30-16-PM.csv,600,1.0
sr,3,binocular,2016-08-03_03-30-16-PM.csv,600,1.0
sr,1,binocular,2016-08-03_03-30-16-PM.csv,400,1.0
sr,2,binocular,2016-08-03_03-30-16-PM.csv,400,1.0
sr,3,binocular,2016-08-03_03-30-16-PM.csv,400,0.9841269841269841
sr,1,binocular,2016-08-03_03-57-51-PM.csv,1000,1.0
sr,2,binocular,2016-08-03_03-57-51-PM.csv,1000,1.0
sr,3,binocular,2016-08-03_03-57-51-PM.csv,1000,1.0
sr,1,binocular,2016-08-03_03-57-51-PM.csv,800,1.0
sr,2,binocular,2016-08-03_03-57-51-PM.csv,800,1.0
sr,3,binocular,2016-08-03_03-57-51-PM.csv,800,0.9896907216494846
sr,1,binocular,2016-08-03_03-57-51-PM.csv,600,0.9896907216494846
sr,2,binocular,2016-08-03_03-57-51-PM.csv,600,0.9896907216494846
sr,3,binocular,2016-08-03_03-57-51-PM.csv,600,1.0
sr,1,binocular,2016-08-03_03-57-51-PM.csv,400,1.0
sr,2,binocular,2016-08-03_03-57-51-PM.csv,400,0.9523809523809523
sr,3,binocular,2016-08-03_03-57-51-PM.csv,400,0.9857142857142858
sr,1,binocular,2016-08-04_05-57-30-PM.csv,1000,nan
sr,2,binocular,2016-08-04_05-57-30-PM.csv,1000,nan
sr,3,binocular,2016-08-04_05-57-30-PM.csv,1000,nan
sr,1,binocular,2016-08-04_05-57-30-PM.csv,800,1.0
sr,2,binocular,2016-08-04_05-57-30-PM.csv,800,1.0
sr,3,binocular,2016-08-04_05-57-30-PM.csv,800,1.0
sr,1,binocular,2016-08-04_05-57-30-PM.csv,600,0.9795918367346939
sr,2,binocular,2016-08-04_05-57-30-PM.csv,600,1.0
sr,3,binocular,2016-08-04_05-57-30-PM.csv,600,0.9896907216494846
sr,1,binocular,2016-08-04_05-57-30-PM.csv,400,0.9896907216494846
sr,2,binocular,2016-08-04_05-57-30-PM.csv,400,0.9795918367346939
sr,3,binocular,2016-08-04_05-57-30-PM.csv,400,0.9504950495049505
sr,1,binocular,2016-08-04_06-25-22-PM.csv,1000,nan
sr,2,binocular,2016-08-04_06-25-22-PM.csv,1000,nan
sr,3,binocular,2016-08-04_06-25-22-PM.csv,1000,nan
sr,1,binocular,2016-08-04_06-25-22-PM.csv,800,1.0
sr,2,binocular,2016-08-04_06-25-22-PM.csv,800,1.0
sr,3,binocular,2016-08-04_06-25-22-PM.csv,800,1.0
sr,1,binocular,2016-08-04_06-25-22-PM.csv,600,1.0
sr,2,binocular,2016-08-04_06-25-22-PM.csv,600,0.9896907216494846
sr,3,binocular,2016-08-04_06-25-22-PM.csv,600,0.9795918367346939
sr,1,binocular,2016-08-04_06-25-22-PM.csv,400,0.9896907216494846
sr,2,binocular,2016-08-04_06-25-22-PM.csv,400,1.0
sr,3,binocular,2016-08-04_06-25-22-PM.csv,400,0.9896907216494846
sr,1,binocular,2016-08-05_10-31-19-AM.csv,1000,nan
sr,2,binocular,2016-08-05_10-31-19-AM.csv,1000,nan
sr,3,binocular,2016-08-05_10-31-19-AM.csv,1000,nan
sr,1,binocular,2016-08-05_10-31-19-AM.csv,800,1.0
sr,2,binocular,2016-08-05_10-31-19-AM.csv,800,1.0
sr,3,binocular,2016-08-05_10-31-19-AM.csv,800,1.0
sr,1,binocular,2016-08-05_10-31-19-AM.csv,600,1.0
sr,2,binocular,2016-08-05_10-31-19-AM.csv,600,1.0
sr,3,binocular,2016-08-05_10-31-19-AM.csv,600,1.0
sr,1,binocular,2016-08-05_10-31-19-AM.csv,400,1.0
sr,2,binocular,2016-08-05_10-31-19-AM.csv,400,0.9896907216494846
sr,3,binocular,2016-08-05_10-31-19-AM.csv,400,1.0
sr,1,binocular,2016-08-05_10-58-56-AM.csv,1000,nan
sr,2,binocular,2016-08-05_10-58-56-AM.csv,1000,nan
sr,3,binocular,2016-08-05_10-58-56-AM.csv,1000,nan
sr,1,binocular,2016-08-05_10-58-56-AM.csv,800,1.0
sr,2,binocular,2016-08-05_10-58-56-AM.csv,800,1.0
sr,3,binocular,2016-08-05_10-58-56-AM.csv,800,1.0
sr,1,binocular,2016-08-05_10-58-56-AM.csv,600,0.9896907216494846
sr,2,binocular,2016-08-05_10-58-56-AM.csv,600,1.0
sr,3,binocular,2016-08-05_10-58-56-AM.csv,600,0.9795918367346939
sr,1,binocular,2016-08-05_10-58-56-AM.csv,400,0.9896907216494846
sr,2,binocular,2016-08-05_10-58-56-AM.csv,400,0.9795918367346939
sr,3,binocular,2016-08-05_10-58-56-AM.csv,400,0.9896907216494846
sr,1,binocular,2016-09-22_01-02-25-PM.csv,1000,1.0
sr,2,binocular,2016-09-22_01-02-25-PM.csv,1000,1.0
sr,3,binocular,2016-09-22_01-02-25-PM.csv,1000,0.9795918367346939
sr,1,binocular,2016-09-22_01-02-25-PM.csv,800,1.0
sr,2,binocular,2016-09-22_01-02-25-PM.csv,800,1.0
sr,3,binocular,2016-09-22_01-02-25-PM.csv,800,0.9411764705882353
sr,1,binocular,2016-09-22_01-02-25-PM.csv,600,0.9896907216494846
sr,2,binocular,2016-09-22_01-02-25-PM.csv,600,0.9696969696969697
sr,3,binocular,2016-09-22_01-02-25-PM.csv,600,0.9896907216494846
sr,1,binocular,2016-09-22_01-02-25-PM.csv,400,0.9852941176470589
sr,2,binocular,2016-09-22_01-02-25-PM.csv,400,0.9833333333333333
sr,3,binocular,2016-09-22_01-02-25-PM.csv,400,0.9555555555555556
sr,1,binocular,2016-09-22_12-34-54-PM.csv,1000,1.0
sr,2,binocular,2016-09-22_12-34-54-PM.csv,1000,1.0
sr,3,binocular,2016-09-22_12-34-54-PM.csv,1000,1.0
sr,1,binocular,2016-09-22_12-34-54-PM.csv,800,1.0
sr,2,binocular,2016-09-22_12-34-54-PM.csv,800,1.0
sr,3,binocular,2016-09-22_12-34-54-PM.csv,800,0.9896907216494846
sr,1,binocular,2016-09-22_12-34-54-PM.csv,600,1.0
sr,2,binocular,2016-09-22_12-34-54-PM.csv,600,1.0
sr,3,binocular,2016-09-22_12-34-54-PM.csv,600,1.0
sr,1,binocular,2016-09-22_12-34-54-PM.csv,400,1.0
sr,2,binocular,2016-09-22_12-34-54-PM.csv,400,0.927536231884058
sr,3,binocular,2016-09-22_12-34-54-PM.csv,400,0.9253731343283582
sr,1,binocular,2016-09-29_12-27-28-PM.csv,1000,1.0
sr,2,binocular,2016-09-29_12-27-28-PM.csv,1000,1.0
sr,3,binocular,2016-09-29_12-27-28-PM.csv,1000,0.9696969696969697
sr,1,binocular,2016-09-29_12-27-28-PM.csv,800,1.0
sr,2,binocular,2016-09-29_12-27-28-PM.csv,800,0.96
sr,3,binocular,2016-09-29_12-27-28-PM.csv,800,0.9896907216494846
sr,1,binocular,2016-09-29_12-27-28-PM.csv,600,1.0
sr,2,binocular,2016-09-29_12-27-28-PM.csv,600,0.9896907216494846
sr,3,binocular,2016-09-29_12-27-28-PM.csv,600,0.96
sr,1,binocular,2016-09-29_12-27-28-PM.csv,400,0.9846153846153847
sr,2,binocular,2016-09-29_12-27-28-PM.csv,400,0.9666666666666667
sr,3,binocular,2016-09-29_12-27-28-PM.csv,400,1.0
sr,1,binocular,2016-09-29_12-54-58-PM.csv,1000,1.0
sr,2,binocular,2016-09-29_12-54-58-PM.csv,1000,0.96
sr,3,binocular,2016-09-29_12-54-58-PM.csv,1000,0.9896907216494846
sr,1,binocular,2016-09-29_12-54-58-PM.csv,800,0.9896907216494846
sr,2,binocular,2016-09-29_12-54-58-PM.csv,800,0.9896907216494846
sr,3,binocular,2016-09-29_12-54-58-PM.csv,800,0.9896907216494846
sr,1,binocular,2016-09-29_12-54-58-PM.csv,600,1.0
sr,2,binocular,2016-09-29_12-54-58-PM.csv,600,0.9795918367346939
sr,3,binocular,2016-09-29_12-54-58-PM.csv,600,1.0
sr,1,binocular,2016-09-29_12-54-58-PM.csv,400,1.0
sr,2,binocular,2016-09-29_12-54-58-PM.csv,400,0.9850746268656716
sr,3,binocular,2016-09-29_12-54-58-PM.csv,400,1.0
sr,1,binocular,2016-09-30_04-27-37-PM.csv,1000,1.0
sr,2,binocular,2016-09-30_04-27-37-PM.csv,1000,1.0
sr,3,binocular,2016-09-30_04-27-37-PM.csv,1000,0.9795918367346939
sr,1,binocular,2016-09-30_04-27-37-PM.csv,800,1.0
sr,2,binocular,2016-09-30_04-27-37-PM.csv,800,0.9896907216494846
sr,3,binocular,2016-09-30_04-27-37-PM.csv,800,0.96
sr,1,binocular,2016-09-30_04-27-37-PM.csv,600,1.0
sr,2,binocular,2016-09-30_04-27-37-PM.csv,600,0.9896907216494846
sr,3,binocular,2016-09-30_04-27-37-PM.csv,600,0.9896907216494846
sr,1,binocular,2016-09-30_04-27-37-PM.csv,400,0.9285714285714286
sr,2,binocular,2016-09-30_04-27-37-PM.csv,400,0.974025974025974
sr,3,binocular,2016-09-30_04-27-37-PM.csv,400,0.9428571428571428
sr,1,binocular,2016-09-30_04-55-15-PM.csv,1000,1.0
sr,2,binocular,2016-09-30_04-55-15-PM.csv,1000,1.0
sr,3,binocular,2016-09-30_04-55-15-PM.csv,1000,0.9795918367346939
sr,1,binocular,2016-09-30_04-55-15-PM.csv,800,1.0
sr,2,binocular,2016-09-30_04-55-15-PM.csv,800,0.9795918367346939
sr,3,binocular,2016-09-30_04-55-15-PM.csv,800,0.9504950495049505
sr,1,binocular,2016-09-30_04-55-15-PM.csv,600,1.0
sr,2,binocular,2016-09-30_04-55-15-PM.csv,600,1.0
sr,3,binocular,2016-09-30_04-55-15-PM.csv,600,0.9696969696969697
sr,1,binocular,2016-09-30_04-55-15-PM.csv,400,1.0
sr,2,binocular,2016-09-30_04-55-15-PM.csv,400,0.9811320754716981
sr,3,binocular,2016-09-30_04-55-15-PM.csv,400,0.9107142857142857
sr,1,binocular,2016-10-04_12-26-36-PM.csv,1000,1.0
sr,2,binocular,2016-10-04_12-26-36-PM.csv,1000,0.9896907216494846
sr,3,binocular,2016-10-04_12-26-36-PM.csv,1000,0.9896907216494846
sr,1,binocular,2016-10-04_12-26-36-PM.csv,800,1.0
sr,2,binocular,2016-10-04_12-26-36-PM.csv,800,1.0
sr,3,binocular,2016-10-04_12-26-36-PM.csv,800,0.9795918367346939
sr,1,binocular,2016-10-04_12-26-36-PM.csv,600,0.9896907216494846
sr,2,binocular,2016-10-04_12-26-36-PM.csv,600,0.9896907216494846
sr,3,binocular,2016-10-04_12-26-36-PM.csv,600,1.0
sr,1,binocular,2016-10-04_12-26-36-PM.csv,400,1.0
