subject,difficulty,condition,date,sa,probabilityCorrect
AA2,2,anisometropia,2017-12-07_04-54-28-PM.csv,600,1.0
AA2,3,anisometropia,2017-12-07_04-54-28-PM.csv,600,0.9896907216494846
AA2,1,anisometropia,2017-12-07_04-54-28-PM.csv,400,1.0
AA2,2,anisometropia,2017-12-07_04-54-28-PM.csv,400,0.9285714285714286
AA2,3,anisometropia,2017-12-07_04-54-28-PM.csv,400,0.9661016949152542
AA2,1,anisometropia,2017-12-13_02-29-00-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-13_02-29-00-PM.csv,1000,1.0
AA2,3,anisometropia,2017-12-13_02-29-00-PM.csv,1000,1.0
AA2,1,anisometropia,2017-12-13_02-29-00-PM.csv,800,1.0
AA2,2,anisometropia,2017-12-13_02-29-00-PM.csv,800,0.96
AA2,3,anisometropia,2017-12-13_02-29-00-PM.csv,800,0.9696969696969697
AA2,1,anisometropia,2017-12-13_02-29-00-PM.csv,600,1.0
AA2,2,anisometropia,2017-12-13_02-29-00-PM.csv,600,0.9696969696969697
AA2,3,anisometropia,2017-12-13_02-29-00-PM.csv,600,0.9896907216494846
AA2,1,anisometropia,2017-12-13_02-29-00-PM.csv,400,0.9552238805970149
AA2,2,anisometropia,2017-12-13_02-29-00-PM.csv,400,0.9565217391304348
AA2,3,anisometropia,2017-12-13_02-29-00-PM.csv,400,0.9090909090909091
AA2,1,anisometropia,2017-12-13_03-03-28-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-13_03-03-28-PM.csv,1000,0.9896907216494846
AA2,3,anisometropia,2017-12-13_03-03-28-PM.csv,1000,1.0
AA2,1,anisometropia,2017-12-13_03-03-28-PM.csv,800,0.9896907216494846
AA2,2,anisometropia,2017-12-13_03-03-28-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2017-12-13_03-03-28-PM.csv,800,0.9795918367346939
AA2,1,anisometropia,2017-12-13_03-03-28-PM.csv,600,1.0
AA2,2,anisometropia,2017-12-13_03-03-28-PM.csv,600,0.9795918367346939
AA2,3,anisometropia,2017-12-13_03-03-28-PM.csv,600,0.9896907216494846
AA2,1,anisometropia,2017-12-13_03-03-28-PM.csv,400,0.9848484848484849
AA2,2,anisometropia,2017-12-13_03-03-28-PM.csv,400,0.9821428571428571
AA2,3,anisometropia,2017-12-13_03-03-28-PM.csv,400,0.8979591836734694
AA2,1,anisometropia,2017-12-14_10-00-03-AM.csv,1000,1.0
AA2,2,anisometropia,2017-12-14_10-00-03-AM.csv,1000,0.9896907216494846
AA2,3,anisometropia,2017-12-14_10-00-03-AM.csv,1000,1.0
AA2,1,anisometropia,2017-12-14_10-00-03-AM.csv,800,1.0
AA2,2,anisometropia,2017-12-14_10-00-03-AM.csv,800,1.0
AA2,3,anisometropia,2017-12-14_10-00-03-AM.csv,800,1.0
AA2,1,anisometropia,2017-12-14_10-00-03-AM.csv,600,0.9896907216494846
AA2,2,anisometropia,2017-12-14_10-00-03-AM.csv,600,1.0
AA2,3,anisometropia,2017-12-14_10-00-03-AM.csv,600,1.0
AA2,1,anisometropia,2017-12-14_10-00-03-AM.csv,400,1.0
AA2,2,anisometropia,2017-12-14_10-00-03-AM.csv,400,1.0
AA2,3,anisometropia,2017-12-14_10-00-03-AM.csv,400,0.9682539682539683
AA2,1,anisometropia,2017-12-14_10-30-13-AM.csv,1000,1.0
AA2,2,anisometropia,2017-12-14_10-30-13-AM.csv,1000,1.0
AA2,3,anisometropia,2017-12-14_10-30-13-AM.csv,1000,1.0
AA2,1,anisometropia,2017-12-14_10-30-13-AM.csv,800,1.0
AA2,2,anisometropia,2017-12-14_10-30-13-AM.csv,800,1.0
AA2,3,anisometropia,2017-12-14_10-30-13-AM.csv,800,1.0
AA2,1,anisometropia,2017-12-14_10-30-13-AM.csv,600,1.0
AA2,2,anisometropia,2017-12-14_10-30-13-AM.csv,600,1.0
AA2,3,anisometropia,2017-12-14_10-30-13-AM.csv,600,1.0
AA2,1,anisometropia,2017-12-14_10-30-13-AM.csv,400,1.0
AA2,2,anisometropia,2017-12-14_10-30-13-AM.csv,400,0.9636363636363636
AA2,3,anisometropia,2017-12-14_10-30-13-AM.csv,400,1.0
AA2,1,anisometropia,2018-02-22_02-36-02-PM.csv,1000,1.0
AA2,2,anisometropia,2018-02-22_02-36-02-PM.csv,1000,0.9795918367346939
AA2,3,anisometropia,2018-02-22_02-36-02-PM.csv,1000,1.0
AA2,1,anisometropia,2018-02-22_02-36-02-PM.csv,800,1.0
AA2,2,anisometropia,2018-02-22_02-36-02-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2018-02-22_02-36-02-PM.csv,800,1.0
AA2,1,anisometropia,2018-02-22_02-36-02-PM.csv,600,0.9896907216494846
AA2,2,anisometropia,2018-02-22_02-36-02-PM.csv,600,1.0
AA2,3,anisometropia,2018-02-22_02-36-02-PM.csv,600,1.0
AA2,1,anisometropia,2018-02-22_02-36-02-PM.csv,400,0.9622641509433962
AA2,2,anisometropia,2018-02-22_02-36-02-PM.csv,400,1.0
AA2,3,anisometropia,2018-02-22_02-36-02-PM.csv,400,0.9230769230769231
AA2,1,anisometropia,2018-02-22_03-05-45-PM.csv,1000,1.0
AA2,2,anisometropia,2018-02-22_03-05-45-PM.csv,1000,0.9896907216494846
AA2,3,anisometropia,2018-02-22_03-05-45-PM.csv,1000,0.9411764705882353
AA2,1,anisometropia,2018-02-22_03-05-45-PM.csv,800,1.0
AA2,2,anisometropia,2018-02-22_03-05-45-PM.csv,800,0.9320388349514563
AA2,3,anisometropia,2018-02-22_03-05-45-PM.csv,800,0.9411764705882353
AA2,1,anisometropia,2018-02-22_03-05-45-PM.csv,600,1.0
AA2,2,anisometropia,2018-02-22_03-05-45-PM.csv,600,0.9310344827586207
AA2,3,anisometropia,2018-02-22_03-05-45-PM.csv,600,1.0
AA2,1,anisometropia,2018-02-22_03-05-45-PM.csv,400,1.0
AA2,2,anisometropia,2018-02-22_03-05-45-PM.csv,400,nan
AA2,3,anisometropia,2018-02-22_03-05-45-PM.csv,400,nan
AA2,1,anisometropia,2018-02-23_10-31-42-AM.csv,1000,1.0
AA2,2,anisometropia,2018-02-23_10-31-42-AM.csv,1000,1.0
AA2,3,anisometropia,2018-02-23_10-31-42-AM.csv,1000,1.0
AA2,1,anisometropia,2018-02-23_10-31-42-AM.csv,800,1.0
AA2,2,anisometropia,2018-02-23_10-31-42-AM.csv,800,0.9896907216494846
AA2,3,anisometropia,2018-02-23_10-31-42-AM.csv,800,1.0
AA2,1,anisometropia,2018-02-23_10-31-42-AM.csv,600,1.0
AA2,2,anisometropia,2018-02-23_10-31-42-AM.csv,600,0.9896907216494846
AA2,3,anisometropia,2018-02-23_10-31-42-AM.csv,600,1.0
AA2,1,anisometropia,2018-02-23_10-31-42-AM.csv,400,1.0
AA2,2,anisometropia,2018-02-23_10-31-42-AM.csv,400,0.9777777777777777
AA2,3,anisometropia,2018-02-23_10-31-42-AM.csv,400,0.9622641509433962
AA2,1,anisometropia,2018-02-23_11-00-18-AM.csv,1000,1.0
AA2,2,anisometropia,2018-02-23_11-00-18-AM.csv,1000,0.9896907216494846
AA2,3,anisometropia,2018-02-23_11-00-18-AM.csv,1000,1.0
AA2,1,anisometropia,2018-02-23_11-00-18-AM.csv,800,1.0
AA2,2,anisometropia,2018-02-23_11-00-18-AM.csv,800,1.0
AA2,3,anisometropia,2018-02-23_11-00-18-AM.csv,800,0.9795918367346939
AA2,1,anisometropia,2018-02-23_11-00-18-AM.csv,600,1.0
AA2,2,anisometropia,2018-02-23_11-00-18-AM.csv,600,1.0
AA2,3,anisometropia,2018-02-23_11-00-18-AM.csv,600,1.0
AA2,1,anisometropia,2018-02-23_11-00-18-AM.csv,400,1.0
AA2,2,anisometropia,2018-02-23_11-00-18-AM.csv,400,1.0
AA2,3,anisometropia,2018-02-23_11-00-18-AM.csv,400,0.975
AA2,1,anisometropia,2018-03-01_02-46-27-PM.csv,1000,1.0
AA2,2,anisometropia,2018-03-01_02-46-27-PM.csv,1000,1.0
AA2,3,anisometropia,2018-03-01_02-46-27-PM.csv,1000,0.96
AA2,1,anisometropia,2018-03-01_02-46-27-PM.csv,800,1.0
AA2,2,anisometropia,2018-03-01_02-46-27-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2018-03-01_02-46-27-PM.csv,800,0.9896907216494846
AA2,1,anisometropia,2018-03-01_02-46-27-PM.csv,600,1.0
AA2,2,anisometropia,2018-03-01_02-46-27-PM.csv,600,0.9696969696969697
AA2,3,anisometropia,2018-03-01_02-46-27-PM.csv,600,0.978021978021978
AA2,1,anisometropia,2018-03-01_02-46-27-PM.csv,400,1.0
AA2,2,anisometropia,2018-03-01_02-46-27-PM.csv,400,0.9210526315789473
AA2,3,anisometropia,2018-03-01_02-46-27-PM.csv,400,nan
AA2,1,anisometropia,2018-03-01_03-16-20-PM.csv,1000,1.0
AA2,2,anisometropia,2018-03-01_03-16-20-PM.csv,1000,1.0
AA2,3,anisometropia,2018-03-01_03-16-20-PM.csv,1000,1.0
AA2,1,anisometropia,2018-03-01_03-16-20-PM.csv,800,1.0
AA2,2,anisometropia,2018-03-01_03-16-20-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2018-03-01_03-16-20-PM.csv,800,0.9795918367346939
AA2,1,anisometropia,2018-03-01_03-16-20-PM.csv,600,0.9896907216494846
AA2,2,anisometropia,2018-03-01_03-16-20-PM.csv,600,0.9795918367346939
AA2,3,anisometropia,2018-03-01_03-16-20-PM.csv,600,1.0
AA2,1,anisometropia,2018-03-01_03-16-20-PM.csv,400,0.96875
AA2,2,anisometropia,2018-03-01_03-16-20-PM.csv,400,1.0
AA2,3,anisometropia,2018-03-01_03-16-20-PM.csv,400,0.9444444444444444
AA2,1,anisometropia,2018-03-02_10-31-23-AM.csv,1000,1.0
AA2,2,anisometropia,2018-03-02_10-31-23-AM.csv,1000,1.0
AA2,3,anisometropia,2018-03-02_10-31-23-AM.csv,1000,1.0
AA2,1,anisometropia,2018-03-02_10-31-23-AM.csv,800,1.0
AA2,2,anisometropia,2018-03-02_10-31-23-AM.csv,800,0.9896907216494846
AA2,3,anisometropia,2018-03-02_10-31-23-AM.csv,800,1.0
AA2,1,anisometropia,2018-03-02_10-31-23-AM.csv,600,1.0
AA2,2,anisometropia,2018-03-02_10-31-23-AM.csv,600,1.0
AA2,3,anisometropia,2018-03-02_10-31-23-AM.csv,600,0.9896907216494846
AA2,1,anisometropia,2018-03-02_10-31-23-AM.csv,400,1.0
AA2,2,anisometropia,2018-03-02_10-31-23-AM.csv,400,0.9512195121951219
AA2,3,anisometropia,2018-03-02_10-31-23-AM.csv,400,0.96
AA2,1,anisometropia,2018-03-02_11-01-14-AM.csv,1000,1.0
AA2,2,anisometropia,2018-03-02_11-01-14-AM.csv,1000,1.0
AA2,3,anisometropia,2018-03-02_11-01-14-AM.csv,1000,1.0
AA2,1,anisometropia,2018-03-02_11-01-14-AM.csv,800,1.0
AA2,2,anisometropia,2018-03-02_11-01-14-AM.csv,800,1.0
AA2,3,anisometropia,2018-03-02_11-01-14-AM.csv,800,0.9795918367346939
AA2,1,anisometropia,2018-03-02_11-01-14-AM.csv,600,1.0
AA2,2,anisometropia,2018-03-02_11-01-14-AM.csv,600,1.0
AA2,3,anisometropia,2018-03-02_11-01-14-AM.csv,600,1.0
AA2,1,anisometropia,2018-03-02_11-01-14-AM.csv,400,1.0
AA2,2,anisometropia,2018-03-02_11-01-14-AM.csv,400,0.9736842105263158
AA2,3,anisometropia,2018-03-02_11-01-14-AM.csv,400,0.9473684210526315
AA2,1,anisometropia,2018-03-06_02-37-06-PM.csv,1000,1.0
AA2,2,anisometropia,2018-03-06_02-37-06-PM.csv,1000,0.9896907216494846
AA2,3,anisometropia,2018-03-06_02-37-06-PM.csv,1000,1.0
AA2,1,anisometropia,2018-03-06_02-37-06-PM.csv,800,1.0
AA2,2,anisometropia,2018-03-06_02-37-06-PM.csv,800,1.0
AA2,3,anisometropia,2018-03-06_02-37-06-PM.csv,800,0.9795918367346939
AA2,1,anisometropia,2018-03-06_02-37-06-PM.csv,600,1.0
AA2,2,anisometropia,2018-03-06_02-37-06-PM.csv,600,1.0
AA2,3,anisometropia,2018-03-06_02-37-06-PM.csv,600,0.9896907216494846
