subject,date,difficulty,saMedian,saVar,saLog,saLogVar
aj,2017-10-04_09-52-18-AM.csv,2,270.558936633807,27576.233909979495,2.4322618833680316,0.0744677167833663
aj,2017-10-04_09-52-18-AM.csv,3,228.07150667560148,40856.73987958935,2.3580710315874445,0.0869888958197537
aj,2017-12-07_05-26-04-PM.csv,1,225.49744857776,14895.037505546115,2.3531416323564693,0.053742945840725184
aj,2017-12-07_05-26-04-PM.csv,2,178.009161096952,11855.505043385092,2.2504423534969535,0.07257827513836625
aj,2017-12-07_05-26-04-PM.csv,3,219.799880716849,36791.468213647495,2.342027452400355,0.0968084291019698
aj,2017-12-07_05-53-47-PM.csv,1,171.1249251543715,27046.316667079358,2.233313271192883,0.08301287536262444
aj,2017-12-07_05-53-47-PM.csv,2,251.55395783354598,47049.05240313711,2.400631154703895,0.11061730931541794
aj,2017-12-07_05-53-47-PM.csv,3,201.470886606987,19172.82598433913,2.304212297626353,0.07496975423823178
aj,2018-02-16_02-07-41-PM.csv,1,246.67258851226347,19225.57432796372,2.3921208912031826,0.05632339380548692
aj,2018-02-16_02-07-41-PM.csv,2,158.40879336898,28488.406786342057,2.199779285874866,0.08555787491648399
aj,2018-02-16_02-07-41-PM.csv,3,228.931015961371,34793.377439482465,2.3597046356118945,0.09521788444803261
aj,2018-02-16_02-36-29-PM.csv,1,194.89559412332198,15652.513974968664,2.2898020214185086,0.07566299960545313
aj,2018-02-16_02-36-29-PM.csv,2,176.8014816820085,27903.741460903428,2.2474859002903114,0.09424177949946717
aj,2018-02-16_02-36-29-PM.csv,3,209.94118907131246,26947.217029612068,2.322097652643854,0.07412299835471757
aj,2018-04-12_09-17-13-AM.csv,1,229.55447595726298,16356.862078907927,2.3608857652553352,0.07803423528590041
aj,2018-04-12_09-17-13-AM.csv,2,195.110395468107,24253.07416058547,2.2902804091903266,0.07609261006439647
aj,2018-04-12_09-17-13-AM.csv,3,268.46626548641,32497.656840935593,2.4288897215680083,0.090793993899423
aj,2018-04-12_09-45-20-AM.csv,1,208.647504495142,25062.075103972475,2.3194131947488033,0.08158174161415632
aj,2018-04-12_09-45-20-AM.csv,2,212.46744834714298,48507.442816907635,2.3272924022164183,0.11171120357733583
aj,2018-04-12_09-45-20-AM.csv,3,285.63488332192503,45737.31084842251,2.455811244802687,0.11119976455876254
aj,2018-04-16_05-19-50-PM.csv,1,178.643901615159,22875.890021165076,2.251988195237085,0.0742631850919976
aj,2018-04-16_05-19-50-PM.csv,2,232.579429234339,40410.97595125274,2.3665713003963744,0.09658933770399884
aj,2018-04-16_05-19-50-PM.csv,3,213.620597582948,28585.22798355298,2.3296431256286936,0.0985761714370441
aj,2018-04-16_05-49-02-PM.csv,1,191.104323737799,13078.666931537735,2.2812705130844466,0.06345227629412094
aj,2018-04-16_05-49-02-PM.csv,2,205.3743915812575,22858.03577215871,2.312546289853738,0.08262793070844585
aj,2018-04-16_05-49-02-PM.csv,3,272.783489950415,29498.611128785928,2.4358180813788217,0.07273146000523137
aj,2018-04-20_01-56-49-PM.csv,1,159.19209648745596,27920.365684978526,2.20192150223902,0.11323526472517613
aj,2018-04-20_01-56-49-PM.csv,2,165.20413602418802,15283.770161194643,2.2180209160472955,0.07091154341791828
aj,2018-04-20_01-56-49-PM.csv,3,146.00504212153396,20035.14783700914,2.1643678539196993,0.08565039327741562
aj,2018-04-20_02-24-48-PM.csv,1,162.901422003258,15297.211279675563,2.2119248753795513,0.05964449145681246
aj,2018-04-20_02-24-48-PM.csv,2,181.98799789356602,13297.861523758713,2.26004274721325,0.07845481252638276
aj,2018-04-20_02-24-48-PM.csv,3,206.9509883349025,15938.511294811511,2.3158675047999315,0.05954389335924745
aj,2018-06-07_09-25-12-AM.csv,1,244.03024864100848,37465.83572572396,2.387443662419294,0.0750302050101826
aj,2018-06-07_09-25-12-AM.csv,2,258.31450667542094,45231.039844734034,2.4121487963869344,0.08478094740865924
aj,2018-06-07_09-25-12-AM.csv,3,219.29741373070954,21769.759983973094,2.3410335098849795,0.08903782537855
aj,2018-06-07_09-53-01-AM.csv,1,161.06437353682497,25290.57153583692,2.206999487734932,0.09140965231805166
aj,2018-06-07_09-53-01-AM.csv,2,131.873319624702,5616.285682074641,2.120156938747027,0.04948608031673617
aj,2018-06-07_09-53-01-AM.csv,3,173.1123174231355,16170.521197186798,2.2383279702357783,0.06840348427808389
sh,2017-05-04_04-29-24-PM.csv,1,333.99467420966846,46205.17816440963,2.523739541722362,0.0815940134190816
sh,2017-05-04_04-29-24-PM.csv,2,287.63490946252,62011.72326773545,2.458841594043521,0.11829451471129877
sh,2017-05-04_04-29-24-PM.csv,3,231.06491127703652,49413.489704483225,2.363734000019307,0.1050720605353718
sh,2017-05-04_04-56-57-PM.csv,1,325.5929632496235,41184.74918925161,2.5126750102992204,0.11137231653536675
sh,2017-05-04_04-56-57-PM.csv,2,314.9848711201121,62768.618584911324,2.4982896949107443,0.11277356620960448
sh,2017-05-04_04-56-57-PM.csv,3,284.462063122266,64122.34341954743,2.4540243555281167,0.10642410386664936
sh,2017-08-25_09-14-57-AM.csv,1,141.46146966977602,32166.289866574698,2.1506381657368028,0.0864641802982032
sh,2017-08-25_09-14-57-AM.csv,2,238.830446539977,31378.943451448304,2.3780896906375584,0.1017907582650356
sh,2017-08-25_09-14-57-AM.csv,3,227.903767333163,41863.99000797125,2.3577515042873576,0.0936318257713479
sh,2017-08-25_09-42-35-AM.csv,1,197.134667965057,13522.271025208516,2.2947630057201702,0.07030224097362452
sh,2017-08-25_09-42-35-AM.csv,2,189.518365813689,32105.916186947892,2.277651302879561,0.10384644250103595
sh,2017-08-25_09-42-35-AM.csv,3,217.3249571401905,24360.03818261865,2.3371096026477014,0.06633271639583256
sh,2017-08-28_01-24-58-PM.csv,1,229.95935443062,15221.349879175303,2.3616510807722806,0.05661710997066658
sh,2017-08-28_01-24-58-PM.csv,2,307.53339461527,28580.67393242541,2.4878922820941125,0.08629922332436661
sh,2017-08-28_01-24-58-PM.csv,3,254.523617164258,57610.13328110789,2.4057280865872688,0.10955354241949888
sh,2017-08-28_01-52-42-PM.csv,1,154.70997045044902,15660.397918861037,2.189518303176289,0.07328267757263206
sh,2017-08-28_01-52-42-PM.csv,2,213.64373337253,20027.97425438059,2.329690158554364,0.0798881679599951
sh,2017-08-28_01-52-42-PM.csv,3,162.22662279472502,12481.295951378632,2.210122127212171,0.061370173660434325
sh,2017-09-05_02-29-05-PM.csv,1,185.27404655557748,19833.650208120624,2.267814587008474,0.06528021050570666
sh,2017-09-05_02-29-05-PM.csv,2,218.0846456178685,30456.52937102298,2.338625089887866,0.09060420676957848
sh,2017-09-05_02-29-05-PM.csv,3,243.74727607747948,51731.180640023886,2.3869397710736315,0.0819223521032763
sh,2017-09-05_02-57-09-PM.csv,1,201.250360121187,36934.99406431125,2.3037366661753316,0.09962382498485374
sh,2017-09-05_02-57-09-PM.csv,2,232.783792205968,54679.24852436896,2.3669527388620724,0.10996300500924833
sh,2017-09-05_02-57-09-PM.csv,3,151.473508660074,35322.82135965734,2.1803366853218016,0.09099922677924685
sh,2017-09-07_10-22-00-AM.csv,1,161.56862847175302,10795.377243823783,2.208357038343004,0.061839188228217365
sh,2017-09-07_10-22-00-AM.csv,2,201.78532254207852,17583.28564104791,2.304889573343873,0.0669482735434894
sh,2017-09-07_10-22-00-AM.csv,3,191.33754614559,27841.571069072903,2.2818001999482123,0.0845221102399855
sh,2017-09-07_10-50-21-AM.csv,1,161.91922638899,17593.3666033979,2.209298420210376,0.07813100562154669
sh,2017-09-07_10-50-21-AM.csv,2,186.79772956912348,16196.508654974876,2.27137159329882,0.09254516455657184
sh,2017-09-07_10-50-21-AM.csv,3,162.312114998891,13627.195087610871,2.210350936836725,0.07832206669088984
sh,2017-09-08_04-23-47-PM.csv,1,195.14845928622398,13791.366707140764,2.2903651268387253,0.056177756908594646
sh,2017-09-08_04-23-47-PM.csv,2,182.8608841773335,55918.46048924895,2.2621208153575507,0.11360102545923749
sh,2017-09-08_04-23-47-PM.csv,3,152.56849032859049,14260.973919502261,2.1834648488912305,0.05768651452242931
